Iteracion: 1
Punto 	|	 X 	,	 Y 	,	 Z 	,	 W 	|	 Distancia C1 	|	 Distancia C2 	|	 Distancia C3 	|	 Distancia mínima
--------------------------------------------------------------------------------------------------------------------
    1 	|	 5.10 	,	 3.50 	,	 1.40 	,	 0.20 	|	 5.6391 	|	 4.0472 	|	 0.9220 	| 0.9220
    2 	|	 4.90 	,	 3.00 	,	 1.40 	,	 0.20 	|	 5.7472 	|	 4.0804 	|	 0.5099 	| 0.5099
    3 	|	 4.70 	,	 3.20 	,	 1.30 	,	 0.20 	|	 5.8941 	|	 4.2732 	|	 0.4359 	| 0.4359
    4 	|	 4.60 	,	 3.10 	,	 1.50 	,	 0.20 	|	 5.7845 	|	 4.1545 	|	 0.3000 	| 0.3000
    5 	|	 5.00 	,	 3.60 	,	 1.40 	,	 0.20 	|	 5.6763 	|	 4.1085 	|	 0.9220 	| 0.9220
    6 	|	 5.40 	,	 3.90 	,	 1.70 	,	 0.40 	|	 5.2058 	|	 3.7121 	|	 1.4595 	| 1.4595
    7 	|	 4.60 	,	 3.40 	,	 1.40 	,	 0.30 	|	 5.8078 	|	 4.2391 	|	 0.5477 	| 0.5477
    8 	|	 5.00 	,	 3.40 	,	 1.50 	,	 0.20 	|	 5.5973 	|	 3.9912 	|	 0.7874 	| 0.7874
    9 	|	 4.40 	,	 2.90 	,	 1.40 	,	 0.20 	|	 5.9758 	|	 4.3324 	|	 0.0000 	| 0.0000
   10 	|	 4.90 	,	 3.10 	,	 1.50 	,	 0.10 	|	 5.6974 	|	 4.0348 	|	 0.5568 	| 0.5568
   11 	|	 5.40 	,	 3.70 	,	 1.50 	,	 0.20 	|	 5.4498 	|	 3.8859 	|	 1.2845 	| 1.2845
   12 	|	 4.80 	,	 3.40 	,	 1.60 	,	 0.20 	|	 5.5982 	|	 4.0050 	|	 0.6708 	| 0.6708
   13 	|	 4.80 	,	 3.00 	,	 1.40 	,	 0.10 	|	 5.8284 	|	 4.1581 	|	 0.4243 	| 0.4243
   14 	|	 4.30 	,	 3.00 	,	 1.10 	,	 0.10 	|	 6.2873 	|	 4.6551 	|	 0.3464 	| 0.3464
   15 	|	 5.80 	,	 4.00 	,	 1.20 	,	 0.20 	|	 5.6054 	|	 4.1037 	|	 1.7916 	| 1.7916
   16 	|	 5.70 	,	 4.40 	,	 1.50 	,	 0.40 	|	 5.3348 	|	 3.9573 	|	 1.9975 	| 1.9975
   17 	|	 5.10 	,	 3.50 	,	 1.40 	,	 0.30 	|	 5.5991 	|	 4.0187 	|	 0.9274 	| 0.9274
   18 	|	 5.70 	,	 3.80 	,	 1.70 	,	 0.30 	|	 5.1468 	|	 3.6097 	|	 1.6125 	| 1.6125
   19 	|	 5.10 	,	 3.80 	,	 1.50 	,	 0.30 	|	 5.5182 	|	 3.9987 	|	 1.1489 	| 1.1489
   20 	|	 5.40 	,	 3.40 	,	 1.70 	,	 0.20 	|	 5.2849 	|	 3.6565 	|	 1.1576 	| 1.1576
   21 	|	 5.10 	,	 3.70 	,	 1.50 	,	 0.40 	|	 5.4763 	|	 3.9484 	|	 1.0863 	| 1.0863
   22 	|	 4.60 	,	 3.60 	,	 1.00 	,	 0.20 	|	 6.1693 	|	 4.6217 	|	 0.8307 	| 0.8307
   23 	|	 5.10 	,	 3.30 	,	 1.70 	,	 0.50 	|	 5.2783 	|	 3.6824 	|	 0.9110 	| 0.9110
   24 	|	 4.80 	,	 3.40 	,	 1.90 	,	 0.20 	|	 5.3600 	|	 3.7696 	|	 0.8124 	| 0.8124
   25 	|	 5.00 	,	 3.00 	,	 1.60 	,	 0.20 	|	 5.5444 	|	 3.8678 	|	 0.6403 	| 0.6403
   26 	|	 5.00 	,	 3.40 	,	 1.60 	,	 0.40 	|	 5.4351 	|	 3.8523 	|	 0.8307 	| 0.8307
   27 	|	 5.20 	,	 3.40 	,	 1.40 	,	 0.20 	|	 5.6054 	|	 3.9900 	|	 0.9434 	| 0.9434
   28 	|	 4.80 	,	 3.10 	,	 1.60 	,	 0.20 	|	 5.6169 	|	 3.9711 	|	 0.4899 	| 0.4899
   29 	|	 5.40 	,	 3.40 	,	 1.50 	,	 0.40 	|	 5.3712 	|	 3.7696 	|	 1.1402 	| 1.1402
   30 	|	 5.20 	,	 4.10 	,	 1.50 	,	 0.10 	|	 5.5830 	|	 4.1024 	|	 1.4491 	| 1.4491
   31 	|	 5.50 	,	 4.20 	,	 1.40 	,	 0.20 	|	 5.5344 	|	 4.0804 	|	 1.7029 	| 1.7029
   32 	|	 4.90 	,	 3.10 	,	 1.50 	,	 0.10 	|	 5.6974 	|	 4.0348 	|	 0.5568 	| 0.5568
